Date,Open,High,Low,Close,Adj Close,Volume
2021-12-06,147.979996,148.339996,145.309998,145.690002,142.092651,462100
2021-12-07,145.130005,146.039993,144.009995,144.330002,140.766220,131900
2021-12-08,143.429993,143.500000,141.000000,141.339996,137.850052,350800
2021-12-09,141.809998,142.509995,141.100006,141.940002,138.435242,143500
2021-12-10,142.690002,142.910004,141.320007,141.460007,137.967087,116300
2021-12-13,143.160004,144.360001,143.100006,143.970001,140.415115,167700
2021-12-14,143.100006,143.970001,141.949997,143.729996,140.181046,118500
2021-12-15,142.360001,143.679993,141.820007,142.229996,138.718063,120400
2021-12-16,141.479996,142.630005,141.350006,141.770004,138.269455,209300
2021-12-17,143.350006,144.000000,143.070007,143.830002,140.278564,674200
2021-12-20,143.759995,144.070007,142.389999,142.630005,139.108215,114000
2021-12-21,140.619995,142.070007,139.869995,142.009995,138.503494,429000
2021-12-22,142.600006,142.889999,141.960007,142.869995,139.342285,449600
2021-12-23,141.869995,141.869995,140.009995,140.699997,137.885986,149600
2021-12-27,140.570007,141.169998,140.410004,140.979996,138.160385,357700
2021-12-28,141.940002,142.080002,139.910004,140.330002,137.523392,145900
2021-12-29,138.610001,139.000000,138.020004,138.449997,135.680984,181200
2021-12-30,139.029999,139.839996,138.080002,139.839996,137.043198,135900
2021-12-31,139.759995,141.080002,139.350006,140.000000,137.199982,94200
2022-01-03,138.210007,138.779999,135.580002,135.630005,132.917404,502800
2022-01-04,134.759995,135.179993,133.580002,134.699997,132.005981,194400
2022-01-05,135.279999,135.279999,133.759995,133.899994,131.222000,307100
2022-01-06,133.639999,134.759995,133.250000,134.619995,131.927597,316100
2022-01-07,134.500000,134.500000,132.500000,133.399994,130.731995,151500
2022-01-10,132.770004,134.009995,132.369995,133.929993,131.251389,142300
2022-01-11,134.139999,135.000000,134.100006,134.970001,132.270584,203700
2022-01-12,135.559998,135.559998,134.169998,134.369995,131.682587,584200
2022-01-13,134.630005,135.899994,134.289993,135.660004,132.946808,615200
2022-01-14,134.770004,134.770004,132.710007,133.110001,130.447800,146100
2022-01-18,131.850006,132.210007,130.750000,130.759995,128.144775,182400
2022-01-19,131.440002,132.669998,131.020004,132.190002,129.546204,125600
2022-01-20,132.320007,132.979996,131.910004,132.979996,130.320404,211400
2022-01-21,134.639999,135.589996,133.789993,135.119995,132.417603,270300
2022-01-24,135.710007,135.770004,133.350006,133.460007,130.790817,772200
2022-01-25,134.300003,134.910004,132.699997,133.220001,130.555603,561500
2022-01-26,133.289993,133.550003,131.339996,131.380005,128.752396,151400
2022-01-27,133.470001,134.800003,133.470001,134.380005,131.692398,275900
2022-01-28,133.270004,134.990005,133.020004,134.500000,131.810013,753500
2022-01-31,133.330002,134.130005,133.020004,133.380005,130.712402,299600
2022-02-01,133.350006,133.589996,132.000000,132.759995,130.104797,306000
2022-02-02,133.009995,135.059998,133.009995,133.470001,130.800583,135200
2022-02-03,131.389999,132.580002,130.979996,132.229996,129.585388,241100
2022-02-04,130.509995,130.889999,129.119995,129.440002,126.851204,754800
2022-02-07,129.320007,129.869995,129.100006,129.740005,127.145203,232300
2022-02-08,128.649994,128.839996,128.130005,128.500000,125.930000,615100
2022-02-09,129.220001,129.880005,128.500000,128.789993,126.214195,1603700
2022-02-10,127.900002,127.980003,126.010002,126.110001,123.587791,619600
2022-02-11,126.830002,128.800003,125.099998,128.279999,125.714394,236500
2022-02-14,127.239998,127.849998,126.000000,126.639999,124.107193,170100
2022-02-15,125.400002,125.650002,124.559998,124.589996,122.098190,168400
2022-02-16,125.699997,125.940002,124.059998,125.529999,123.019394,119200
2022-02-17,126.360001,127.510002,125.870003,126.570000,124.038597,89100
2022-02-18,127.650002,128.419998,127.199997,128.250000,125.684990,109300
2022-02-22,127.760002,128.830002,127.419998,128.830002,126.253395,100900
2022-02-23,127.559998,127.790001,126.160004,126.410004,123.881798,87000
2022-02-24,129.050003,129.270004,125.580002,126.599998,124.067993,110000
2022-02-25,126.370003,126.820000,125.730003,126.589996,124.058189,71100
2022-02-28,128.009995,130.029999,128.009995,130.020004,127.419609,523300
2022-03-01,130.229996,132.699997,130.000000,131.529999,128.899384,183800
2022-03-02,129.770004,130.419998,125.500000,125.940002,123.421196,862000
2022-03-03,127.080002,128.550003,126.510002,127.550003,124.999001,465600
2022-03-04,130.259995,130.869995,129.020004,130.149994,127.546989,533100
2022-03-07,128.929993,130.639999,128.589996,129.089996,126.508186,608800
2022-03-08,126.970001,128.000000,126.660004,127.459999,124.910797,651000
2022-03-09,126.699997,127.029999,125.669998,125.839996,123.323196,503900
2022-03-10,123.820000,124.410004,122.620003,123.470001,121.000595,1040700
2022-03-11,123.190002,124.690002,123.160004,123.930000,121.451393,360400
2022-03-14,121.540001,122.239998,120.480003,120.480003,118.070396,381200
2022-03-15,121.699997,122.000000,119.629997,120.209999,117.805794,255500
2022-03-16,120.529999,122.279999,119.040001,121.879997,119.442390,514300
2022-03-17,121.989998,122.440002,119.959999,120.790001,118.374199,267300
2022-03-18,121.550003,122.690002,121.550003,122.540001,120.089203,193500
2022-03-21,120.000000,120.610001,118.639999,119.199997,116.815994,510000
2022-03-22,117.650002,118.129997,116.949997,117.199997,114.855995,350400
2022-03-23,118.059998,120.809998,117.510002,120.809998,118.393791,194200
2022-03-24,118.699997,120.400002,118.550003,119.660004,117.266800,161300
2022-03-25,118.519997,118.519997,116.449997,117.599998,115.247993,225300
2022-03-28,118.470001,119.910004,118.199997,118.980003,116.600403,259100
2022-03-29,119.910004,121.029999,119.019997,120.000000,117.599998,393800
2022-03-30,119.349998,121.620003,119.250000,121.160004,118.736801,132900
2022-03-31,121.470001,122.330002,121.269997,121.720001,119.285599,118600
2022-04-01,119.300003,122.610001,118.669998,121.779999,119.970268,451300
2022-04-04,121.400002,121.400002,119.989998,120.639999,118.847214,217300
2022-04-05,119.750000,119.889999,117.070000,117.309998,115.566696,371600
2022-04-06,114.839996,116.830002,114.669998,116.169998,114.443634,404400
2022-04-07,114.519997,114.980003,113.650002,114.949997,113.241768,359900
2022-04-08,113.779999,114.019997,112.300003,113.070000,111.389709,374000
2022-04-11,111.720001,112.089996,110.129997,110.870003,109.222404,293700
2022-04-12,111.889999,111.889999,110.010002,110.309998,108.670715,242000
2022-04-13,110.330002,111.559998,110.190002,110.510002,108.867752,426400
